code,name,country,exchange,currency,type,market
RFOF11,Fundo De Investimento Imobiliario RB Capital I Fundo De Fundos,Brazil,SA,BRL,ETF,sa_etf
RHI,Robert Half International,Industrials,NYSE,USD,Common Stock,us_500
RIGG34,Transocean Ltd,Brazil,SA,BRL,Common Stock,sa_bdr
RJF,Raymond James Financial,Financials,NYSE,USD,Common Stock,us_500
RL,Ralph Lauren Corporation,Consumer Discretionary,NYSE,USD,Common Stock,us_500
RLOG3,Cosan Logística S.A,Brazil,SA,BRL,Common Stock,sa_stocks
RMD,ResMed,Health Care,NYSE,USD,Common Stock,us_500
RNDP11,BB Renda de Papéis Imobiliários Fundo de Investimento Imobiliário - FII,Brazil,SA,BRL,ETF,sa_etf
RNEW11,Renova Energia S.A,Brazil,SA,BRL,ETF,sa_etf
RNEW3,Renova Energia S.A,Brazil,SA,BRL,Common Stock,sa_stocks
RNEW4,Renova Energia S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
RNGO11,Fundo de Investimento Imobiliário Rio Negro,Brazil,SA,BRL,ETF,sa_etf
ROK,Rockwell Automation Inc.,Industrials,NYSE,USD,Common Stock,us_500
ROL,Rollins Inc.,Industrials,NYSE,USD,Common Stock,us_500
ROMI3,Indústrias Romi S.A,Brazil,SA,BRL,Common Stock,sa_stocks
ROP,Roper Technologies,Industrials,NYSE,USD,Common Stock,us_500
ROST,Ross Stores,Consumer Discretionary,NYSE,USD,Common Stock,us_500
ROST,"Ross Stores, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
RPAD3,Alfa Holdings S.A,Brazil,SA,BRL,Common Stock,sa_stocks
RPAD5,Alfa Holdings S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
RPAD6,Alfa Holdings S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
RPMG3,Refinaria de Petróleos de Manguinhos S.A,Brazil,SA,BRL,Common Stock,sa_stocks
RRRP3,3R Petroleum Óleo e Gás S.A,Brazil,SA,BRL,Common Stock,sa_stocks
RSG,Republic Services Inc,Industrials,NYSE,USD,Common Stock,us_500
RSID3,Rossi Residencial S.A,Brazil,SA,BRL,Common Stock,sa_stocks
RSUL4,Metalúrgica Riosulense S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
RTX,Raytheon Technologies,Industrials,NYSE,USD,Common Stock,us_500
SADI11,Santander Papeis Imobiliarios Cdi Fundo De Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
SAIC11B,Fundo Investimento Imobiliario FII,Brazil,SA,BRL,ETF,sa_etf
SANB11,Banco Santander (Brasil) S.A,Brazil,SA,BRL,ETF,sa_etf
SANB3,Banco Santander (Brasil) S.A,Brazil,SA,BRL,Common Stock,sa_stocks
SANB4,Banco Santander (Brasil) S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
SAPP34,SAPP34,Brazil,SA,BRL,Preferred Stock,sa_bdr
SAPR11,Companhia de Saneamento do Paraná - SANEPAR,Brazil,SA,BRL,ETF,sa_etf
SAPR3,Companhia de Saneamento do Paraná - SANEPAR,Brazil,SA,BRL,Common Stock,sa_stocks
SAPR4,Companhia de Saneamento do Paraná - SANEPAR,Brazil,SA,BRL,Preferred Stock,sa_stocks
SARE11,Santander Renda De Alugueis Fundo Investimento Imobiliarios,Brazil,SA,BRL,ETF,sa_etf
SBAC,SBA Communications,Real Estate,NYSE,USD,Common Stock,us_500
SBSP3,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Brazil,SA,BRL,Common Stock,sa_stocks
SBUB34,Starbucks Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
SBUX,Starbucks Corp.,Consumer Discretionary,NYSE,USD,Common Stock,us_500
SBUX,Starbucks Corporation Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
SCAR3,São Carlos Empreendimentos e Participações S.A,Brazil,SA,BRL,Common Stock,sa_stocks
SCHW,Charles Schwab Corporation,Financials,NYSE,USD,Common Stock,us_500
SCHW34,The Charles Schwab Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
SCPF11,Scp Fundo De Investimento NPV,Brazil,SA,BRL,ETF,sa_etf
SDIL11,SDI Logística Rio - Fundo de Investimento Imobiliário - FII,Brazil,SA,BRL,ETF,sa_etf
SEE,Sealed Air,Materials,NYSE,USD,Common Stock,us_500
SEER3,Ser Educacional S.A,Brazil,SA,BRL,Common Stock,sa_stocks
SEQL3,Sequoia Logística e Transportes S.A,Brazil,SA,BRL,Common Stock,sa_stocks
SGDJ,Sprott Junior Gold Miners ETF,USA,NYSE ARCA,USD,ETF,us_etf
SGDM,Sprott Gold Miners ETF,USA,NYSE ARCA,USD,ETF,us_etf
SGEN,Seagen Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
SGPS3,Springs Global Participações S.A,Brazil,SA,BRL,Common Stock,sa_stocks
SHOW3,T4F Entretenimento S.A,Brazil,SA,BRL,Common Stock,sa_stocks
SHPH11,FDO INV Imob Shopping Patio Higienopolis,Brazil,SA,BRL,ETF,sa_etf
SHUL4,Schulz S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
SHW,Sherwin-Williams,Materials,NYSE,USD,Common Stock,us_500
SIMH3,SIMPAR S.A,Brazil,SA,BRL,ETF,sa_etf
SIRI,Sirius XM Holdings Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
SIVB,SVB Financial,Financials,NYSE,USD,Common Stock,us_500
SJM,JM Smucker,Consumer Staples,NYSE,USD,Common Stock,us_500
SLB,Schlumberger Ltd.,Energy,NYSE,USD,Common Stock,us_500
SLBG34,Schlumberger Limited,Brazil,SA,BRL,Preferred Stock,sa_bdr
SLCE3,SLC Agrícola S.A,Brazil,SA,BRL,Common Stock,sa_stocks
SLED3,Saraiva Livreiros S.A. - em Recuperação Judicial,Brazil,SA,BRL,Common Stock,sa_stocks
SLED4,Saraiva Livreiros S.A. - em Recuperação Judicial,Brazil,SA,BRL,Preferred Stock,sa_stocks
SLG,SL Green Realty,Real Estate,NYSE,USD,Common Stock,us_500
SMAC11,It Now Small Cap Fundo de &#195;&#141;ndice,Brazil,SA,BRL,ETF,sa_etf
SMAL11,iShares BM&FBOVESPA Small Cap Fundo de &#195;&#141;ndice ETF,Brazil,SA,BRL,ETF,sa_etf
SMLL,BMF BOVESPA SMALL CAP INDEX,Brazil,SA,BRL,Common Stock,sa_stocks
SMLS3,Smiles Fidelidade S.A,Brazil,SA,BRL,Common Stock,sa_stocks
SMTO3,São Martinho S.A,Brazil,SA,BRL,Common Stock,sa_stocks
SNA,Snap-on,Industrials,NYSE,USD,Common Stock,us_500
SNPS,Synopsys Inc.,Information Technology,NYSE,USD,Common Stock,us_500
SNPS,"Synopsys, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
SNSY5,Sansuy S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
SO,Southern Company,Utilities,NYSE,USD,Common Stock,us_500
SOMA3,Grupo de Moda SOMA S.A,Brazil,SA,BRL,Common Stock,sa_stocks
SOND5,Sondotécnica Engenharia de Solos S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
SOND6,Sondotécnica Engenharia de Solos S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
SPG,Simon Property Group Inc,Real Estate,NYSE,USD,Common Stock,us_500
SPGI,S&P Global Inc.,Financials,NYSE,USD,Common Stock,us_500
SPLK,Splunk Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
SPRI3,Springer S.A,Brazil,SA,BRL,Common Stock,sa_stocks
SPTW11,Sp Downtown Fundo de Investimento Imobiliário - FII,Brazil,SA,BRL,ETF,sa_etf
SQIA3,Sinqia S.A,Brazil,SA,BRL,Common Stock,sa_stocks
SRE,Sempra Energy,Utilities,NYSE,USD,Common Stock,us_500
SSFO34,"salesforce.com, inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
STBP3,Santos Brasil Participações S.A,Brazil,SA,BRL,Common Stock,sa_stocks
STE,Steris,Health Care,NYSE,USD,Common Stock,us_500
STT,State Street Corp.,Financials,NYSE,USD,Common Stock,us_500
STX,Seagate Technology,Information Technology,NYSE,USD,Common Stock,us_500
STZ,Constellation Brands,Consumer Staples,NYSE,USD,Common Stock,us_500
SULA11,Sul América S.A,Brazil,SA,BRL,ETF,sa_etf
SULA3,Sul América S.A,Brazil,SA,BRL,Common Stock,sa_stocks
SULA4,Sul América S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
SUZB3,Suzano S.A,Brazil,SA,BRL,Common Stock,sa_stocks
SWK,Stanley Black & Decker,Industrials,NYSE,USD,Common Stock,us_500
SWKS,Skyworks Solutions,Information Technology,NYSE,USD,Common Stock,us_500
SWKS,"Skyworks Solutions, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
SYF,Synchrony Financial,Financials,NYSE,USD,Common Stock,us_500
SYK,Stryker Corp.,Health Care,NYSE,USD,Common Stock,us_500
SYY,Sysco Corp.,Consumer Staples,NYSE,USD,Common Stock,us_500
T,AT&T Inc.,Communication Services,NYSE,USD,Common Stock,us_500
